"SCI_Name_updated","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Nocturnal"
"Loxia curvirostra",19,16.1,6.8,11.4,16.6,96,36,59.6,37.6,57.3,38.3,20,0,0,0,0,0,0,0,30,50,0,0,0,0,80,20,0,0,0
"Loxia leucoptera",19.1,13.4,4.5,8.6,15.6,88.7,31.7,57.1,35.7,58.8,28.7,20,0,0,0,0,0,20,0,30,30,0,0,0,40,60,0,0,0,0
"Megaceryle alcyon",58.6,44.8,9.5,13.4,12.5,158.8,53.2,105,33.6,94.3,148,10,10,10,70,0,0,0,0,0,0,40,40,10,10,0,0,0,0,0
"Megascops asio",22,12.5,6.4,11.8,35.5,168.5,48.4,120.1,28.8,77.5,180,50,0,0,0,50,0,0,0,0,0,0,10,70,10,10,0,0,0,1
"Megascops kennicottii",24.4,12.9,6.8,12.7,39.9,176.8,47.9,128.8,27.1,85.2,141.8,50,40,10,0,0,0,0,0,0,0,0,0,40,50,10,0,0,0,1
"Melanerpes aurifrons",34.7,24.7,7.8,7.2,22.8,129.1,31.2,97.9,24.2,78.1,80.8,40,0,0,0,10,0,30,0,20,0,0,0,20,20,60,0,0,0,0
"Melanerpes carolinus",32.6,21.6,7.1,7.6,21.1,127.2,35.5,90.4,28.2,76.8,69.5,30,10,10,0,0,0,20,10,20,0,0,0,0,0,20,60,20,0,0
"Melanerpes erythrocephalus",27.3,20.3,7.6,7.4,20.6,139.7,40.6,98.9,29.1,83.3,71.6,60,0,0,0,10,0,0,0,20,10,0,0,20,20,60,0,0,0,0
"Melanerpes formicivorus",26.9,20.6,8.2,7.4,21.8,139.8,40.1,103.6,28,84.5,79.6,20,0,0,0,0,0,10,10,60,0,0,0,0,0,40,60,0,0,0
"Melanerpes lewis",30.4,22.8,7.4,7,24.1,166.8,52,114,31.4,98.8,105.8,60,0,0,0,0,0,0,20,20,0,0,0,0,50,50,0,0,0,0
"Melanitta deglandi",49.9,28.3,26.4,14.7,42,259.2,125.8,126,49.9,74.7,1800.2,80,0,0,10,0,0,0,0,0,10,80,20,0,0,0,0,0,0,0
"Meleagris gallopavo",48.6,25.9,17.6,15.3,149.2,448.8,115,332.5,26,351.2,5791.4,20,0,0,0,0,0,20,0,20,40,0,0,90,10,0,0,0,0,0
"Melospiza georgiana",13.9,8.2,4.1,5.2,21.9,62.3,11.9,50.4,19.1,57,16.1,40,0,0,0,0,0,30,0,30,0,0,0,100,0,0,0,0,0,0
"Melospiza lincolnii",13.2,8,4,5.1,20.1,64,14.3,49.7,22.3,56.8,16.6,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0
"Melospiza melodia",13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.9,40,0,0,0,0,0,30,0,30,0,0,0,70,30,0,0,0,0,0
"Melozone crissalis",16.2,10.1,5,7.7,26.9,88.8,11.7,77.1,13.1,101,52.8,20,0,0,20,0,0,0,10,0,60,0,0,50,30,20,0,0,0,0
"Melozone fusca",16.5,10.1,5.5,7.8,24,93.4,11.8,79.2,13.1,97,44.4,20,0,0,20,0,0,0,0,0,80,0,0,50,30,20,0,0,0,0
"Mergus merganser",69.4,38.4,10.4,11.7,50.9,270.8,123.8,145.7,46,107.2,1451,10,10,10,70,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0
